Hour,Day_Num,Month,Is_Weekend,Is_Night,Crime_Severity_Score,Latitude,Longitude,District,Ward,Beat,Community Area,Arrest,Domestic,PC1,PC2,Primary_Type
18,5,7,1,0,6,41.911716715,-87.772795537,25,29,2531,25,0,1,2.880137504608239,1.9259640252017383,THEFT
19,5,9,1,0,6,41.918775112,-87.744867772,25,26,2522,19,0,0,2.924641966482985,1.6545157642947665,DECEPTIVE PRACTICE
2,1,10,0,1,5,41.872019169,-87.751421116,15,29,1533,25,0,0,1.443118406338016,-0.7924053515936227,BATTERY
14,0,3,0,0,6,41.779620623,-87.653679946,7,16,712,68,1,0,-1.6715194442066745,-1.5221725102704917,BATTERY
14,1,6,0,0,5,41.943995904,-87.707753336,17,35,1733,21,0,0,2.083148525283814,-1.2620268318316952,BATTERY
10,1,3,0,0,3,41.742991296,-87.632025815,6,21,622,44,0,0,-1.4627133237931351,-1.3302399726917937,NARCOTICS
19,2,9,0,0,3,41.769148666,-87.584423485,3,5,332,43,0,0,-2.4373690041473797,-1.1332532551810464,BATTERY
3,4,2,0,1,5,41.892622637,-87.704001773,12,27,1221,23,0,0,0.8995406526053824,0.23373053003739827,ASSAULT
8,2,4,0,0,3,41.802064797,-87.618640688,2,3,231,40,0,0,-2.212600919547375,-0.9729422300627946,ASSAULT
10,3,9,0,0,3,41.777740745,-87.631760999,7,6,722,68,1,0,-2.0028541002945377,-0.6614736261138078,ASSAULT
16,1,12,0,0,2,41.763456466,-87.579306774,3,5,333,43,0,0,-2.473473239736308,-1.5158883066680588,BATTERY
14,6,6,1,0,3,41.819446427,-87.619867204,2,3,213,38,0,0,-2.061644603226778,1.8396416700704672,ASSAULT
16,3,8,0,0,3,41.958205249,-87.705706239,17,33,1724,16,0,0,2.226888638010966,-0.7407753468882982,INTIMIDATION
22,0,4,0,1,3,41.837566517,-87.647294804,9,11,913,60,0,1,-1.2724392548743106,-1.2600802115140555,DECEPTIVE PRACTICE
9,3,1,0,0,6,41.90174914,-87.726275422,11,37,1112,23,0,0,1.2199965492193545,-0.42927991924175574,MOTOR VEHICLE THEFT
23,3,1,0,1,5,41.931389677,-87.757184491,25,31,2514,19,0,0,3.2093874751629903,-0.3277055984347022,BATTERY
0,4,8,0,1,6,41.737745455,-87.558730367,4,7,423,46,0,0,-2.7108889699280936,0.29488445354238335,THEFT
3,1,10,0,1,3,41.858594819,-87.627214427,1,3,131,33,0,0,-1.9244633015950294,-0.9704020480765125,MOTOR VEHICLE THEFT
7,3,11,0,0,3,41.788987036,-87.74147999,8,13,813,56,0,0,-0.8185025892818704,-0.5978585995974969,CRIMINAL TRESPASS
20,4,6,0,1,5,41.679042758,-87.623924058,5,9,522,53,0,1,-2.695418470995449,0.2610433042918492,THEFT
8,2,4,0,0,6,41.749574714,-87.557704997,4,7,422,46,0,1,-2.8101003510751994,-0.5475430669613628,ASSAULT
20,1,5,0,1,3,41.883500187,-87.627876698,1,34,111,32,1,0,-0.8406686907397215,-1.1913819283880727,BATTERY
20,1,6,0,1,3,41.892017399,-87.624165306,18,42,1834,8,0,0,1.9550022369235744,-1.179496789056913,BATTERY
14,0,6,0,0,3,41.88565961,-87.647764729,12,27,1214,28,0,0,0.5209332596125649,-1.7456221988575544,CRIMINAL DAMAGE
16,1,5,0,0,3,41.882553868,-87.624383802,1,34,112,32,0,0,-0.8554875834400173,-1.4470185581788448,BATTERY
10,5,2,1,0,3,41.762429136,-87.651621855,7,17,733,68,0,1,-1.7582607061993312,1.8280614007797613,THEFT
10,1,6,0,0,3,41.93054576,-87.744994797,25,31,2521,19,0,0,3.195136878428304,-1.3176522084925937,THEFT
1,1,7,0,1,6,41.901267158,-87.76231515,15,37,1524,25,1,1,1.6952260502812924,-0.4757633331480726,ASSAULT
13,3,12,0,0,6,41.772296804,-87.620290973,3,6,322,69,0,1,-2.8840256306359295,-0.27232803373993225,THEFT
22,4,12,0,1,5,41.822817641,-87.693202398,9,12,921,58,1,0,-0.9156818325457665,-0.02618898242838308,THEFT
