Latitude,Longitude,Arrest,Primary Type,KMeans_Geo,DBSCAN_Geo,Hierarchical_Geo,Crime_Severity_Score
41.938090593,-87.708807095,1,BATTERY,1,0,1,6
41.73809141,-87.56694085,0,ASSAULT,5,0,7,6
41.872484426,-87.640892683,0,BATTERY,0,0,6,6
41.911758366,-87.721808638,0,THEFT,1,0,1,3
41.794296825,-87.583929101,0,MOTOR VEHICLE THEFT,2,0,3,5
41.795249204,-87.581846018,0,MOTOR VEHICLE THEFT,2,0,3,5
41.730850434,-87.602515923,0,BATTERY,5,0,3,6
41.975303861,-87.653563486,0,THEFT,4,0,2,3
41.832233,-87.646140874,0,DECEPTIVE PRACTICE,0,0,3,3
41.953540189,-87.737132972,0,THEFT,3,0,1,3
41.935094598,-87.798053027,0,BURGLARY,3,0,4,5
41.926261042,-87.766068398,0,THEFT,3,0,1,3
41.85102174,-87.618954852,0,CRIMINAL DAMAGE,0,0,3,3
41.925133828,-87.640191373,0,BATTERY,0,0,2,6
